Identification,File Type,File Name,Transcription,Comment,
Student 031,.mp3,Student 031.mp3,"Leslie Palmer is a 62 year old man who presents with shortness of breath and fatigue. He has a history of hypertension, diabetes and afib. He had a CABG 12 years ago as well as stents more recently. He takes a lisinopril atorvastatin clopidogrel metformin furosemide metoprolol sulfate, and warfarin. He eats a balanced diet, walks for exercise, and smokes one pack per day. Has a family history his mother uh died of breast cancer. Father has Alzheimer's disease. He has no known drug allergies. He eats a balanced diet, walks for exercise and smokes 1 pack per day. He has like 1 cup of coffee. Has 0 drug allergies. Reports that sleeping in a recliner is helpful and alleviate symptoms. NYHA scale of 4 symptoms even at rest. Patient has good family support vital showed normal heart rate, respiratory rate, and temperature. But low oxygen sats at 86 and low blood pressure at 80/60 ROS is positive for fatigue weight gain orthopnea dyspnea wheezing edema of lower extremity. His troponin is elevated and his BNP is elevated at 4000. He is positive for JVD. The tachycardia with split S2 on physical exam. His PMI is displaced laterally. He has rales wheezing, lower extremity edema. Xray shows cardiomegaly and pulmonary edema. Echo shows dilated left ventricle ejection fraction of less than 30. EKG shows left bundle branch block is normal sinus rhythm. Patient diagnosis is ischemic dilated cardiomyopathy. He will be admitted to the ICU. We'll have um vitals checked every 2 hours. We're going to stop his current medications, but only do clopidogrel warfarin and dobutamine. He will get a consultation with the interventional cardiologist for AICD CRT. Um he was also negative for homan’s signs and has no signs of DVT. ",,
Student 032,.mp3,Student 032.mp3,"64 year old female presents with shortness of breath, fatigue and chest pain. 2 weeks ago she had an infection associated with a cough, cold, and fever, but it has now resolved. Now she's feeling pain in her chest and it increases um her shortness of breath increases with exercise and the shortness of br- breath is release relieved by sitting. She's not been able to lay down because of her um shortness of breath and that pain. So she's been sleeping in the chair in the chair for the past few weeks. Um her review of systems shows that she has fatigue and gained 8 pounds in the past 2 weeks. She has palpitations and chest pain. She experiences wheezing, dyspnea and ortho orthopnea and she has swelling in her legs. She they are no pertinent findings in skin HEENT and neuro. So past medical history, she has been diagnosed with hypertension and is currently taking lisinopril 10 mg every day. She currently has no known drug allergies. Surgical history includes a cardiac cath a year ago. Um but other than that, no hospitalizations. Her family history shows her mother passed from breast cancer um a coup- 5 years ago and her father is currently living in a facility a nursing home because he is he has dementia. Social history shows she has a balanced diet, exercises 2 times a week, but hasn't been able to because of her shortness of breath, doesn't do any illicit drugs, tobacco or drinks alcohol. She drinks a cup of coffee a day. She is currently employed as an elementary school teacher. And has a partner for 30 years who is her support system. So after conducting the physical exam, I found a positive JVD sign. Her PMI was displaced laterally. Bibasilar rales pedal edema and with no chest wall tenderness and her um pulses in her extremities were um 2+. Her vitals show she had an elevated heart rate at around 110 beats per minute. Her O2 sat was at 91% and her BP was slightly elevated at 130/90. Her lab values showed she had elevated troponin and BNP levels. Her echo shows reduced ejection fraction with dilation of left ventricle. Her EKG shows a right bundle branch blo- block and sinus tachycardia. Chest Xray showed she had pulmonary edema and cardiomegaly. After looking at all these values and um conducting the physical exam and getting her history, I'm diagnosing her with myocarditis cardiomyopathy. A secondary diagnosis could be a dilated ischemic cardiomyopathy but given her recent recent um infection a couple weeks ago I am going to assume it is the myocarditis cardiomyopathy. So my plan for her right now is to admit her to telemetry and administer acetaminophen for the pain she's feeling acetaminophen 625 and IV furosemide for the swelling in her legs and keep her on that lisinopril. Nursing orders include strict IO, daily weight check, DVT prophylaxis, O2 nasal cannula, and maintain her O2 sat greater than 96%. I’m gonna talk to infectious disease the cardiologist and radiologist to come up with a plan for this patient. This includes CRTD and AICD placement, right ventricular endomyocardial biopsy, immunoglobulin or glucocorticoids and a medical medically enhanced MRI. Cause of her um myocarditis is because of her recent um infection that she's experienced 2 weeks ago. And her she currently does have insurance because of her job, and her husband will be meeting her at the hospital. ",,
Student 033,.mp3,Student 033.mp3,"Good afternoon, Dr. Rawlins. Um I saw Ms. Leslie today. She is a 62 year old uh woman who presents to the office for a chief complaint of shortness of breath, fatigue, heart flutter and palpitations. Ms. Leslie was in her usual state of excellent health um until 2 months ago when she developed worsening um shortness of breath and palpitations. She reports um the symptoms being better at rest and when she's elevated and worse during physical activity. She does feel like um passing out at times. She does not complain of radiating pain. Um Ms. Leslie does have a history of sarcoidosis, which she was diagnosed um 25 years ago and is currently being treated um for hypertension with lisinopril along with the along with lisinopril, she reports taking prednisone as well. She has no known allergies. Her social history includes a balanced diet, limited exercise, no drug use, no tobacco use, um no alcohol use, and moderate caffeine use. Um she is an elementary school teacher. She is um sexually active and in a relationship. Her past surgical history includes a cardiac cath about 1 year ago, and she has no prior hospitalizations. Her father died of a heart attack at 59, and her mother had a sudden death at 40. She appears awake alert oriented fatigued and presents with weight gain of about 8 pounds and swollen ankles. Review of systems um of her skin was negative. Um review of systems of her um musculoskeletal component was negative and her blood pressure was elevated at 136/99, and her heart rate was also elevated at 110. Upon palpitation, um edema was noted in her ankles. Lower extremity pulses were normal bilaterally. She did present with rales bilaterally and wheezing. She was active, she was negative her um Homan’s test and had no TART or spinal abnormalities um during her osteopathic screening. Her chest Xray showed normal cardiac silhouette, um mediastinal fullness, and um pulmonary edema. Her BNP was elevated at 4000. Troponin was at normal levels. Her EKG demonstrated normal sinus rhythm with a non sustained left ventricle tachycardia. Her 2- 2D Echo showed um increased wall thickness with an ejection fraction of 50%. Um and she was up to date with her immunizations. She was diagnosed with sarcoidosis restrictive cardiomyopathy, and was admitted to telemetry. In terms of medication, amiodarone 150 mg and furosemide 40 mg IV was added, and um Prednisone was increased to 60 mg from 10 mg. She will be on a low sodium diet and will be receiving out of bed assistance. CMP was ordered and an interventional cardiology consult for a AIC um for AICD placement. Nuclear Med consult for um FDG PET was indicated. She will be continuing her lisinopril uh medication. ",,
Student 034,.mp3,Student 034.mp3,"Mr. Leslie Palmer presented to the emergency department today with uh shortness of breath and fatigue. Uh claims it's been happening for the past 6 months, getting worse uh as the 6 months progressed. Saw his family medicine doctor uh 3 weeks ago or 3 days ago. Excuse me. And they were uh gave him some tests. Told him they were gonna talk about the test in a few days. It got worse. They called him he called him and said to come back to go to the ER. So he's here in the ER today uh says the symptoms have been like I said, getting worse. They're worse when he lays down the shortness of breath. So he's been sleeping in the chair the past few weeks, he says. Um there has been he has a history of multiple stents placed that have 5 in the past 5 years, I believe, and also a uh open heart surgery uh CABG um 12 years ago, 15 years. Uh he has a history of hypertension, hyperlipidemia, diabetes and was recently diagnosed with atrial fib. Uh no drug allergies. Pack a day smoker for the past 30 years. No alcohol or drug use. He is employed as an elementary school teacher uh has insurance through his work and a married family support system. Um no relevant uh family medical history. Currently medicated on lisinopril metoprolol, atorvastatin, metformin, furosemide, clopidogrel, and warfarin, all for the previous diagnosis said before. Uh presented uh well dressed, well nourished, uh oriented. He uh was very oriented, just fatigued, um did not seem to be seem to be in any apparent pain. Review systems shown uh he had uh a JVD present. Uh no carotid bruits. Uh he’s tachycardic with a split S2 heard on auscultation. Uh no heart murmurs or gallops or fric- friction rub. He had uh laterally displaced uh PMI on palpitation. Um listening to lung sounds, he had uh rales were present also, like you said orthopnea can't uh can't breathe while lying down short of breath dyspnea with exertion wheezing. He also says the fatigue and shortness of breath is even on rest. So go into a class 3 heart failure. Um on his labs he came back um PT/INR was elevated and as well as troponin and BNP. Uh 2D ECHO showed that uh he had a dilated cardiomyopathy with uh ejection fraction of 30%. EKG showed a normal sinus rhythm with a left axis, probably because of that cardiomegaly and that uh lateral PMI uh left bundle branch block and uh left ventricular hypertrophy hypertrophy voltage criteria was met. Uh chest Xray shows uh edema cardiomegaly. So we went ahead and diagnosed him with ischemic um excuse me ischemic dilated cardiomyopathy. Uh with uh reduced ejection fraction, 30%. Gonna administer him to the ICU. Uh it's a serious condition. We're gonna get his vitals checked every 2 hours. Uh strict Is and Os, daily weights, DVT prophylaxis. Uh gonna get him on a Bipap 16 over 6 50% uh saline with a KVO. Gonna pause all of his uh current meds right now, except for the warfarin and clopidogrel. Uh go ahead and add a dobutamine drip drip because of that low blood pressure and also his vital showed a low blood blood pressure of 80/60 80/50 excuse me with a heart rate of 90 oxygen sats 86%. So that's why we want to go and get them on the Bipap dobutamine for that low blood pressure. Uh also insulin keep track of those sugars, keep him stable. Uh go ahead and order more serial troponins to check how he's doing as well as PT/INR since he's on that warfarin. Uh with that afib we don't want any extra clotting to occur. From there going to go ahead and uh give him uh interventional cardiology consult potential for a uh CRTD and AICD uh placement. Other than that uh seemed present happy, just fatigue and troubled. So hope we'll get him taken care of. Alright. Thank you. ",,
Student 035,.mp3,Student 035.mp3,"Hello Dr. Rawlins, I'd like to present the case of Mr. Leslie Palmer. He is a 62 year old male who presents today with shortness of breath and severe fatigue. Um this all started about 6 months ago, but has gotten worse in the last 3 days. He went to see his primary care physician and was instructed to come to the emergency department. He said he doesn't know any of the test results that he um took at the primary care physician. Um the shortness of breath occurs even at rest, and he's forced to sleep in his recliner due the symptoms worsening when lying down so um he really doesn't feel good today and like it's been bad around the clock pretty much. Um he is uh from my review of systems I see he's he said that he has fatigue, had an 8 pound um has gained 8 pounds in the last week. He's experiencing wheezing, dyspnea, orthopnea and lower extremity edema. Everything else was negative. His prior medical history he does have hypertension, high cholesterol, diabetes and recent afib. Um his past family history his mother died at the age of 80 from breast cancer his father is still alive, but in a nursing home with Alzheimer's. Um for some pertinent surgical history, he did have a CABG12 years ago. He's had 5 stents in the last 5 years, with the last one being in his LAD. Um his cardio, his cardiologist has told him he is not able to get any more stents after this. And his most recent Echo showed a 40% ejection fraction. Um for his medications he is treating his medical history. Um he does he is on lisinopril 10 mgs atorvastatin 10 mgs clopidogrel 75 mgs metformin 500 mgs furosemide 20 mgs metoprolol succinate for 50 mgs and warfarin 2.5 mgs. He does not have any known drug allergies. Um as for his social history he claims to eat a balanced diet. He used to go on walks daily, but due to his recent symptoms has not been able to. Um he has been smoking for the last 30 years about a pack a day. He consumes caffeine, just 1 cup of coffee a day. No tobacco or alcohol. Um he is an elementary school teacher teaching 5th grade and he is sexually active with his wife, who's also his social support system at home. His vital signs showed a temperature of 98.6 respiratory rate of 22, uh blood pressure of 80 / 50 and a SPO2 of 86% which is a little low. Um from my physical exam, some pertinent positives were uh JVD tachycardia with split S2 and a gallop. Um his PMI was displaced laterally. He did have bibasilar rales and wheezing, and 1+ pitting edema in his lower extremities. The negatives were there were no bruits, no regurgitations, no chest wall tenderness, no calf tenderness. And pulses were full, full and equal dorsalis pedis pulse. Uh my primary diagnosis is ischemic dilated cardiomyopathy with um NYHA class 4 due to the symptoms being present at rest. Uh my secondary diagnoses are hypertension, high cholesterol and diabetes. So my plan for this patient is to admit him to the ICU. Um his labs also showed elevated troponin and BNP, so I would like serial troponins taken. Um as for his um other lab results, he did show cardiomegaly and pulmonary hypertension on chest Xray. Um his EKG had a left bundle branch block and left axis, and his echo had a dilated left ventricular left ventricle with a decreased ejection fraction from his last one down to 30% this time. Um in the ICU, I would like him to be on strict bed rest, uh I and O's, daily weight, and DVT prophylaxis. Um I am going to put him on Bipap 16/6. A low sodium diet and um put in a IV just to keep the vein open. As for meds, I am going to keep him on his clopidogrel and warfarin of 75 and 2.5 mgs respectively. I am going to add in IV dobutamine and uh put him on an insulin sliding scale. Um for his labs, as I said, I would like serial troponins, but I'm also going to get a PT/INR and I am going to consult interventional radiology to put in a CRTD and AICD. I think all with all these combined you can really get Mr. Palmer where he needs to be. Thank you so much. ",,
Student 036,.mp3,Student 036.mp3,"Leslie Palmer is a 62 year old female who presents to the emergency department with complaints of palpitation, shortness of breath and feeling fatigue progressively for the past 2 months. She states that she's going to pass out um occasionally whenever she does any activity. She denies any feeling any symptoms like these in the past. Um her symptoms worsen with any activity. And especially when she she's trying to lay down, she denies any radiation of the pain or any of her symptoms, and she rates her symptoms 7 out of 10 in terms of severity. She states that she followed up with her primary care physician 3 days ago and had blood work and imaging done at the same time. Her past medical history is significant for hypertension and pulmonary sarcoidosis. She is currently on lisinopril, 10 milligrams daily, as well as prednisone, 10 milligrams daily. Her past surgical history, significant for cardiac catheterization, that she had about 1 year ago, which was reportedly normal. She denies any tobacco use alcohol use drug use and states that she has a balanced diet and tries to exercise every day. Her mother, her mother passed away from sudden cardiac death at the age of 40 and her father passed away from myocardial infarction at the age of 59. Her reviews of system was positive for feeling fatigued weight gain palpitation presyncope dyspnea with exertion orthopnea wheezing and lower extremity edema. Her vitals showed um blood pressure of 136 / 90 pulse of 110 respiration rate of 20, temperature of 98.6, uh oxygen saturation of 91 and heart rate of 110. Uh physical exam findings were significant for S4 murmur, jugular vein distension, bibasilar rails, wheezing and pedal edema. However, dorsalis pedis pulse was full and equal on both sides. PMI was noted to be normal and there were no carotid bruits noted. Labs showed BNP levels elevated at 4000. However, troponin levels were normal. Chest Xray findings showed normal cardiac silhouette sign. However, it was noted to have widened mediastinum as well as pulmonary edema. 2D echocardiogram showed that patient had restrictive cardiomyopathy with increased wall thickness as well as ejection fraction of 55%. EKG showed non sustained ventricular tachycardia and normal sinus rhythm. And patient was noted to have uh sarcoidosis restrictive cardiomyopathy based on all the labs and imaging findings and was advised to admit to telemetry. She was also started on amiodarone 150 milligrams IV, as well as furosemide 50 milligrams IV dosage. Her prednisone dose uh prednisone dose was increased from 10 milligrams to 60 to 60 milligrams daily and she was advised to continue rest of her medications. Ms.Palmer Ms.Palmer was also advised to consult with interventional cardiology for automatic implantable cardioven- cardioverter defibrillator as well as radiology for a PET scan. She was agreeable to all the um uh consultation and management plan that was given to her. ",,
Student 037,.mp3,Student 037.mp3,"Patient I saw earlier in the ED, Ms. Foster, she presented with a 2 month history of chest palpi- uh chest flutters and dyspnea on exertion, uh she states that over the last 3 days it's gotten worse. She saw her doctor, who had ordered some lab tests, but when she called in and said things that gotten worse the last couple of days they were recommen- recommending that she uh go to the ED. So she presented today. Uh she states that she's having to be uh sleeping in a chair due to um orthopnea at night. Uh she has a history of pulmonary sarcoidosis. As far as her uh past medical history, she has history of hypertension, which she takes lisinopril for and she's also currently on 10 milligrams of prednisone for her sarcoidosis. Um past uh surgical history includes cardiac cath that she said went well uh last year, and her family history on her mother's side she said that her mother died at age 40 from a from sudden death they weren't exactly sure occurred and her father is also deceased at age 50 uh 9 from an MI. Uh as far as her social history, she does not drink alcohol, uh does not um use tobacco, does not use illicit drugs. She's a teacher for occupation, diet is well balanced. She does drink 1 cup cup of coffee a day. She states that she normally will exercise, like walking with her friends, but recently due to um her the the inability of the shortness of breath upon exertion she is no longer continued to walk with her friends. Uh lives, living situation is stable. She has support at home. Uh no known drug allergies as doing her review of systems she was uh she had some fatigue, uh but otherwise, and some recent uh 8 pound weight gain in the last couple of weeks that she's noticed. Um her skin no, uh nothing of noticeable there. All negative. Uh nothing uh regarding her head. No recent headaches, neck, neck stiffness, uh difficulty seeing her vision. Uh as far as her cardiac evaluation, uh she noted, some fluttering palpitations in her chest, along with um some near syncope events uh with exertion. Uh as far as her uh respiratory, we uh already discussed that she had had some uh dyspnea and uh orthopnea. Uh she had some lower extremity edema, but otherwise no muscle aches or pains. Uh neuro she had no confusion, dizziness or uh gait disturbances that she had noticed as as as far as I could tell, she was alert and oriented. She did have some fatigue. Uh vital signs were 136/99 heart rate of 110 and respirations of 20 uh SPO2 was at 91. Uh when I further did an evaluation um of the patient, she had a positive JVD uh with but no carotid bruit. Uh right her, her uh heart rate was regular but there was an S4 uh murmur noted. Uh that positive gallop, and no regurge. Uh she did have some peripheral edema. Uh lung sounds she had some bilateral rhonchi uh with wheezing. Um after the physical exam, um some Xrays and a echo along with an EKG were ordered. I interpreted uh at the patient's bedside those results. Uh her lab showed elevated uh BNP uh with normal troponin. Her EKG showed uh non sustained uh ventricular tachycardia with otherwise normal sinus rhythm. And her uh echocardiogram showed uh restriction uh in her cardiac it showed restricted cardiomyopathy with increased wall thickness but the ejection fraction was still uh 55%. Uh upon reading her um chart examining the patient and looking over her uh lab results and Xrays, I determined the patient most likely was uh having cardiomyopathy related uh to her sarcoidosis. Uh I advised that the patient be admitted to telemetry um vitals every couple of hours. Uh she can uh be on bed rest, but out of out of bed with with assistance. Put her on strict I- I- IO uh daily weight uh oxygen to bump up her stats and DVT prophylaxis. Um and I also recommended that we uh continue her lisinopril but up her prednisone to 60 milligrams, uh put her on uh IV furosemide, for her pulmonary edema. Um along with uh recommended that we get repeat CMP labs uh to check the furosemide. Uh and consulted radiology and interventional cardiology to look at place look at an I uh AICD placement along with a PET scan uh to further evaluate her sarcoidosis. And that's all I have. ",,
Student 038,.mp3,Student 038.mp3,"Today, Mr. Palmer is a 62 year old man who presents to the office for the chief complaint of dyspnea with exertion and fatigue. Uh Mr. Palmer is an elementary school teacher with the wife of 30 years. He was in his usual state of excellent health until a week 2 weeks ago, prior to admission when he developed an acute onset of shortness of breath. He reports walking with his coworkers after work, when he felt the symptoms uh before admission. Uh he describes the symptoms to be generalized throughout his body with a constant duration during exertion. Um exercise seems to make it worse. He does not complain of any radiating pain. He rates his pain as a 5 out of 6 on a scale of 0 to 10. Mr. Palmer has a history of high blood pressure, which he was diagnosed with hyp- hypertension and is currently being treated for this with uh lisinopril 10 milligrams. Along with the lisinopril he does not report any over the counter herbal medications. Mr. Palmer does not report any allergies. His social history includes a balanced diet, regular exercise before onset before the onset of symptoms 2 weeks ago, no drug use, no tobacco use, no alcohol use, and regular regular caffeine consumption of 1.5 cups of coffee every morning. He works as an elementary school teacher and is sexually active with his wife. He has a positive surgical history of a cardiac cath performed 1 year ago and his yearly physical. Um he's had no hospitalizations. Family history is positive for his father, passing away at age 59 from an MI, and his mother passing away at age 40 from a sudden cardiac death. Today uh Mr. Palmer appears awake, alert, oriented and presents with no fatigue, fever, chills, weight loss or weight gain. Review of symptoms of his skin was negative with no rash, bruising lesions uh or color changes or warmth touch. Review of systems of his MSK was negative, no muscle back or joint pain. Review of pulmonary systems was positive for wheezing and dyspnea with exertion. Review of cardiovascular systems was positive for palpitations near syncope uh but no passing out no, no full syncope uh and S4 murmur and a laterally displaced PMI. His vital signs seemed abnormal, with an elevated BP of 130 / 90. Um other vital signs were normal, with a BPM of 110 and oxygen saturation of 96%. No carotid bruit or JVD were noted. No chest wall tenderness. Um auscultation and palpi- palpation of the epigastric area was a negative for no bruit or pulsatile mass. Uh lower extremity pulses were normal bilaterally. Lungs were clear to auscultation bilaterally. Homan’s sign was negative and calves were symmetrical. OMM examination of the thoracic spine was normal with known TART with no notable TART changes. Upon palpation, no lower lower extremity, no lower extremity edema was noted. Um review of labs uh ordered by the family med physician 3 days ago showed cardiomegaly on chest Xray troponin and BNP were within normal limits and a 2D echo uh performed showed an asymmetrical left ventricle with a enlargement enlarged intraven- interventricular septum and an ejection fraction of 60%. Um today Mr. Palmer was diagnosed with familial hypertrophic uh obstructive cardiomyopathy and is in serious condition. I counseled Mr. Palmer to be admitted to telemetry and to check vitals q2 hours. He was counseled for activity as tolerated and a regular diet. Uh lisinopril 10 milligrams was discontinued and diso- disopyramide 100 milligrams QID was instead started. Uh referrals to interventional cardiology for AICD placement and cardiothoracic surgery for possible septal myomectomy and alcohol injection were uh counseled. Thank you. ",,
Student 039,.mp3,Student 039.mp3,"Mr. Leslie Palmer, who is a 62 year old male, with a history of hypertension, and presented with a chief complaint of shortness of breath and a pre-syncope episode 2 weeks ago while walking. The um associated um episode was with dyspnea that was aggravated while walking and any kind of physical activity. But was relieved with rest therefore it falls under the New York Heart association classification of 2. The patient also described wheezing as well as rasping and fluttering that um last for a duration of any kind of exertion. Patient described there was no history of cough, chest pain, no weight loss, or fever, chills, or sweats. the patients risk factors for coronary artery disease include a positive family history of a MI on the fathers side that passed away at 69 years old and a maternal medical history of sudden cardiac death. Currently, patient is taking Lisinopril for their hypertension and has no known drug allergies. They did have surgical history of heart cath and as for their social history they have a balanced diet and were very active exercising but as of now they have shortness of breath while walking, moderate consumption use of uh caffeine, and no consumption of tobacco, alcohol, or drugs. They are uh elementary sorry they are middle school teacher that lives with their husband. So as for their vital signs, the um the patient has uh vitals of blood pressure of 130 over 90, uh temperature of 98.6, heart rate of 110, respiratory rate of 20, and uh saturation of oxygen of 91 percent and they appear to be awake alert and oriented. I performed a cardiac pulmonary physical exam that indicated no carotid bruits, and did have a jugular venous distension. Um they had a regular heart rate, no murmurs, friction rub or gallops present but a laterally displaced PMI. As for respiratory had no chest wall tenderness, uh but wheezes were present with no respiratory distress. In their extremities, their pulses were full and equal with uh non tender calves and no pedal edema. I reviewed uh imaging of a chest xray that indicated cardiomegaly as well as uh an echo that indicated left ventricular asymmetry uh with hypertrophy and an ejection fraction of 60 percent. And their EKG uhh read to be a normal sinus rhythm with a left ventricular hypertrophy criteria and tall R wave in the uh septal leads. Their um labs came back showing their troponin BNP levels as not elevated, therefore my assessment for this patient is a that they have familial hypertrophic cardiomyopathy secondary to their hypertension and uh this is because of the family history of sudden cardiac death and normal cardiovascular markers in their labs. Thats umm why I would like to admit this patient to telemetry for serious condition and checking their vitals every 2 hours. Um and indicated activity as tolerated with nursing interventions of daily weight, strict IOs, a nasal cannula oxygen maintaining their oxygen saturation above 96 percent and DVT prophylaxis keeping them on a low sodium diet and uh IV fluid orders for keeping the veins open. No uh pain medications but I would like to add disopyramide 100 mg per oral and discontinue the Lisinopril in order to manage any dysrhythmias that they are experiencing. Um no labs are needed to be ordered as well as no imaging but refer in for consult to interventional cardiologist for a AICD placement defibrillator as well as cardiothoracic surgery. Um consult for a septal myectomy  for the inflammation and um management of the hypertrophy. Thank you. ",,
Student 040,.mp3,Student 040.mp3,"62 year old female um named uh Leslie Palmer. She reported to me today with a history of shortness of breath and fatigue um so the uh the shortness of breath um and the fatigue had been progressively worsening over the past 6 months and um uh at her visit today she had she had reported that the shortness of breath was occurring even at rest. so any sort of physical activity um even just walking down the hall she reported um uh shortness of breath. and um she is having to sleep in a chair for that reason at night um so she did have a positive orthopnea um and again at it is um it is at rest and with physical activity. Um so uh additionally she has been um in the past 2 weeks she has reported that she has gained about 8 pounds um and getting into some of her medical history um she does have a history of hypertension, uh hyperlipidemia, um diabetes, and atrial fibrillation. Uh surgically she has a history of um about 12 years ago she had a triple bypass surgery. She's also had 5 uh stents placed uh in total and they did inform her that she is not a candidate for further stents. Um she was informed by um previous physicians that her ejection fraction um was about 40 percent. Um getting into some of her her medications um she provided me with a list she she was on a good number of medications um to name them she was on lisinopril, Metformin, uh Warfarin, Metoprolol succinate, um she was on uh Furosemide and um uhh so that's it for the medications. She did not have any drug allergies um. Some of her social history uh she has a good uh balanced diet. She did report that she is actually able to walk daily um even though she did state that she uh is experiencing shortness of breath with any physical activity um she is still was making the effort to walk everyday um which is very good and she does not report any uses of illicit medications or over the counter medications other than what is prescribed to her. She does have a 30 pack year history um sorry 30 year history of smoking um for which she has been smoking one pack per day. No alcohol consumption and um she has been drinking about one cup of coffee everyday. Uh as far as her sexual activity she is married um and it is a monotonous relationship and for her living situation she is living with her husband. Um so getting to some of her vitals um her blood pressure was significantly low at 80 over 50 um her pulse at about 90 and her oxygen also low at about 86. Um and her respiration rate was a little bit elevated at 22. Um and i did discuss that with her um and talk about um you know what was um standing out in in regards to her vitals as well. So um getting into her physical er or physical exam sorry she did have um positive jugular venous distension, um however she did not have any carotid bruit. Uh she did have some um swelling in her in her calves um so she was positive for lower extremity edema um however, her um her Homans sign was negative. So um getting into her lab work um so troponin and BNP were both elevated um INR was not elevated. Um  Her echo was showing a reduced ejection fraction of about 30% so she had reported in the past that physician told her it was about 40 and today it was 30 so um uh it possibly could have could have gone down. um her EKG was showing a left bundle branch block um and so using those findings i i um my my diagnosis was ischemic dilated cardiomyopathy. Um and and for which i i decided to discontinue a lot of the medications that she is currently prescribed and I I however I did keep her on her blood thinners so I kept her on Warfarin and i kept her on the Clopidogrel. Um and I also added Dobutamine for her blood pressure as it is um quite low and  I added um some insulin um because she is diabetic and she has not been taking insulin um so I added insulin as well. Um I also admitted her to the icu um because of her lab work and because of her her symptoms um I just wanted to make sure that she can be continuously monitored monitored taking uh taken good care of. Um so other than that would be my encounter. Thank you very much for listening. Bye. ",,
Student 041,.mp3,Student 041.mp3,"So Ms. Leslie is a 62 year old female presenting with dyspnea, shortness of breath, orthopnea, and a history of progressively worsening symptoms of palpitations and ** troubles breathing. This has been going on for the past 2 months um when she went and finally decided to see her family doctor 3 days ago to address these symptoms. The family doctor sent her away and then she called the family doctor today and he told or they told her to go and visit the uh the emergency department. Ms Leslie has a history of hypertension and pulmonary sarcoidosis. Uh upon arriving her vitals were taken and she had a heart rate of 110, blood pressure of 136 over 99, and a SP of 2 of 91. Uh her familial history  is significant for sudden death of her mother at 40 and uh father dying of heart attack at 59. what.  Uh she has no known drug allergies uh She is currently on Lisinopril and Prednisone as well as uh having no uh substantial social history other than living with her husband and moderate caffeine usage.  Uhh Ms Leslie used to exercise uhh fairly frequently until the past 2 months where she has been bed ridden. Ms Leslie sleeps in a chair now because of her orthopnea so its easier for her to breathe in a recliner so that's where she sleeps and she has a NYHA uh scale of three uh of a heart rate of 3 as she has issues with any sort of non resting activity. Upon uh that upon systems of review and diagnostic findings we determined that Ms Leslie we believe she has pulmonary uh pulmonary sarcoidosis restrictive cardiomyopathy. Uh we saw that with an xray that had pathognomonic QR uh Lymph node findings as well as diffuse infiltrates within the lung and enlarged heart and yes. Ms Leslie will be admitted to the hospital in serious condition. she will receive 2 liters of O2 via nasal cannula as well as increasing her Prednisone, keeping her on Lisinopril, as well as adding Amiodarone and uh Furosemide to relieve edema that she has from a build up of water in her legs or build up of fluid in her legs. Furthermore, we consulted radiology for a FDG PET scan as well as interventional cardiology for a AICD automatic cardiac defibrillator in her heart. A uh Ms Leslie was put on a low salt diet with an IV to keep open as well as wait a during our physical exam Ms Leslie did have abnormal cardiac findings including a murmur and a gallop of S4. Uh bi bibasilar rales and that is it. So once again we admitted her to the hospital and we started treatment with Furosemide, Prednisone, uh continued Lisinopril and Amiodarone due to treat a paroxysmal ventricular tachycardia. With that. ","Could not understand what was said at 0.16-0.17 seconds, 2:06, 3:27-3:28.",
Student 042,.mp3,Student 042.mp3,"Hello, uh Mr. Palmer is a 62 year old male who presented today with um dyspnea and fatigue after being referred to us by his family doctor. He noticed fatigue and dyspnea while walking 2 weeks ago um although he states that its better with rest and better with laying down. Um the dyspnea and fatigue became worse last night and he also reports a history of presyncope, palpitations, and wheezing. He has a medical history of hypertension for which he takes Lisinopril and he takes no other medications and he has no allergies. He had a cardiac cath years ago um which came back normal and he also has a family medical history of sudden death in his mother at 40. His father died of an MI in his fifties. Um he is an elementary school teacher who drinks one cup of coffee a day, no alcohol, no tobacco, he eats a balanced diet, and he enjoys going for walks everyday although he has been um unable to do this recently due to the dyspnea and fatigue. Um for his vitals, I noticed a heart rate of 110, um oxygen saturation of 96, blood pressure of 130 over 90, and a respiratory  rate of 16 and a temperature of 98. On physical exam, I noticed a crescendo decrescendo murmur and a displaced PMI which i discussed with the patient.  Um for his imaging, on the xray we saw a cardio uh myopathy, a cardiomegaly, um on the ECHO we saw hypertrophy of the septum, and um on the EKG showed septal hypertrophy with increased amplitude waves in the leads um V1, V2, and V3. So the um diagnosis which i think is most likely? for this case is familial hypertrophic um cardiomyopathy which i discussed with the patient and i prescribed disopyramide for him discontinued his Lisinopril. Also referred to him an interventional cardiologist um which i discussed with the patient and as well as a cardiovascular surgeon. Thank you. ",,Could not understand what was said at 1:53. 
